# Time-averaged data for fix avgrdf
# TimeStep Number-of-rows
# Row c_h2oRDF[1] c_h2oRDF[2] c_h2oRDF[3] c_h2oRDF[4] c_h2oRDF[5] c_h2oRDF[6] c_h2oRDF[7]
10000 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0.000109251 9.76562e-06 0 0
16 1.55 9.42648e-05 1.95313e-05 0.0137817 0.00143555 0 0
17 1.65 0.00593077 0.00140625 0.337134 0.0409863 0 0
18 1.75 0.0381742 0.0114844 1.33965 0.217725 0 0
19 1.85 0.164929 0.0600977 1.77307 0.479121 0 0
20 1.95 0.397738 0.190332 1.26817 0.686865 0 0
21 2.05 0.744068 0.459609 0.694816 0.812676 0 0
22 2.15 1.06275 0.882461 0.358655 0.884102 0 0
23 2.25 1.27985 1.44006 0.208625 0.929561 0 0
24 2.35 1.34195 2.07789 0.138573 0.9625 0 0
25 2.45 1.2605 2.72904 0.118536 0.993145 0.00273262 0.000703125
26 2.55 1.10244 3.3459 0.14356 1.03339 0.193491 0.0548047
27 2.65 0.918199 3.901 0.2216 1.10048 1.74528 0.581797
28 2.75 0.763849 4.39838 0.378958 1.22402 3.46589 1.70832
29 2.85 0.695001 4.88459 0.647917 1.45089 2.93704 2.73418
30 2.95 0.695208 5.40557 1.0188 1.83302 1.71404 3.37555
31 3.05 0.725213 5.9865 1.40313 2.39546 1.00375 3.77703
32 3.15 0.798802 6.66879 1.61005 3.08373 0.736658 4.09121
33 3.25 0.884274 7.47279 1.59416 3.80904 0.676859 4.39863
34 3.35 0.965288 8.40529 1.48054 4.52476 0.699348 4.73621
35 3.45 1.05077 9.48193 1.33682 5.21018 0.755156 5.12289
36 3.55 1.11921 10.6959 1.22344 5.87439 0.828504 5.57215
37 3.65 1.17077 12.0385 1.12477 6.51998 0.855562 6.0627
38 3.75 1.19436 13.484 1.06327 7.16413 0.924684 6.62223
39 3.85 1.17518 14.9832 1.02617 7.81936 0.984921 7.25039
40 3.95 1.14065 16.5151 1.01525 8.50176 1.04122 7.94906
41 4.05 1.09614 18.0628 1.01109 9.21611 1.10142 8.72605
42 4.15 1.06802 19.6456 1.0102 9.96548 1.14192 9.57152
43 4.25 1.04777 21.2742 1.01401 10.7545 1.18901 10.4945
44 4.35 1.03644 22.9619 1.00401 11.5728 1.20495 11.4741
45 4.45 1.03762 24.7299 0.990064 12.4174 1.19048 12.4867
46 4.55 1.04074 26.5839 0.981939 13.293 1.16397 13.5217
47 4.65 1.02678 28.4943 0.974928 14.2009 1.13806 14.5789
48 4.75 1.02362 30.4818 0.977878 15.151 1.09359 15.6392
49 4.85 1.00662 32.5196 0.974178 16.1377 1.05454 16.7053
50 4.95 0.992683 34.613 0.975933 17.1674 1.01211 17.7713
51 5.05 0.977153 36.7577 0.98418 18.2481 0.968837 18.8332
52 5.15 0.959 38.9468 0.990015 19.3787 0.934766 19.8988
53 5.25 0.956233 41.215 0.988368 20.5517 0.898664 20.9638
54 5.35 0.946775 43.5472 0.986614 21.7679 0.878413 22.0447
55 5.45 0.948673 45.9721 0.985453 23.0287 0.860827 23.1439
56 5.55 0.953832 48.5006 0.977651 24.3259 0.846011 24.2641
57 5.65 0.964255 51.1498 0.974429 25.6661 0.844418 25.423
58 5.75 0.971123 53.913 0.968889 27.0463 0.844316 26.6234
59 5.85 0.977756 56.7931 0.964064 28.4677 0.879171 27.9171
60 5.95 0.989902 59.8094 0.958132 29.9292 0.911811 29.3053
61 6.05 0.988939 62.9248 0.961617 31.4456 0.946142 30.7948
62 6.15 0.994833 66.1636 0.961916 33.013 0.984763 32.3965
63 6.25 0.999799 69.5252 0.96976 34.6451 1.01051 34.0941
64 6.35 1.00181 73.0022 0.980593 36.3485 1.04326 35.9033
65 6.45 0.99998 76.5829 0.989112 38.1214 1.06104 37.8016
66 6.55 1.00688 80.301 1.00193 39.9732 1.07783 39.79
67 6.65 1.01047 84.1471 1.01082 41.899 1.08897 41.8609
68 6.75 1.01129 88.1129 1.02022 43.9015 1.09442 44.0052
69 6.85 1.01344 92.2058 1.02436 45.9721 1.0906 46.2049
70 6.95 1.01444 96.4231 1.03398 48.1234 1.08811 48.4641
71 7.05 1.0123 100.753 1.03906 50.3477 1.0798 50.7713
72 7.15 1.01298 105.21 1.03794 52.6329 1.06369 53.1088
73 7.25 1.0189 109.819 1.03809 54.9828 1.03944 55.4571
74 7.35 1.01243 114.527 1.03419 57.3888 1.02229 57.8305
75 7.45 1.01249 119.363 1.02623 59.8417 1.00444 60.2265
76 7.55 1.01465 124.341 1.02216 62.351 0.993717 62.6607
77 7.65 1.01224 129.438 1.01206 64.9021 0.982826 65.1326
78 7.75 1.00815 134.649 1.0111 67.5178 0.974118 67.6469
79 7.85 1.00571 139.983 1.00064 70.1737 0.969387 70.2139
80 7.95 1.00252 145.435 0.992919 72.8766 0.96889 72.8457
81 8.05 1.00289 151.028 0.98749 75.6328 0.963133 75.5286
82 8.15 0.997434 156.729 0.984521 78.4496 0.962794 78.2777
83 8.25 0.995147 162.558 0.982056 81.3286 0.971242 81.1199
84 8.35 0.993282 168.518 0.983976 84.2837 0.973421 84.038
85 8.45 0.99372 174.624 0.982083 87.304 0.976854 87.0368
86 8.55 0.988294 180.841 0.975012 90.3741 0.980543 90.1189
87 8.65 0.993292 187.238 0.981211 93.5365 0.989325 93.3016
88 8.75 0.990611 193.765 0.981152 96.7723 0.993244 96.5711
89 8.85 0.990698 200.444 0.984003 100.092 1.00352 99.9506
90 8.95 0.995553 207.308 0.988324 103.502 1.0094 103.427
91 9.05 0.992624 214.305 0.992623 107.004 1.00793 106.977
92 9.15 0.995088 221.476 0.996683 110.599 1.01341 110.625
93 9.25 0.997147 228.819 0.998887 114.28 1.0111 114.344
94 9.35 0.99744 236.325 0.999695 118.045 1.01594 118.163
95 9.45 1.00168 244.024 1.0068 121.918 1.00539 122.023
96 9.55 1.0007 251.879 1.01066 125.889 1.01018 125.983
97 9.65 1.00485 259.933 1.01008 129.941 1.00161 129.993
98 9.75 1.00373 268.145 1.01082 134.08 1.00376 134.095
99 9.85 1.00447 276.532 1.01105 138.305 1.0107 138.31
100 9.95 1.00579 285.102 1.00987 142.612 1.00997 142.608
20000 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
