# Time-averaged data for fix noavgmsd
# TimeStep c_h2oMSD[1] c_h2oMSD[2] c_h2oMSD[3] c_h2oMSD[4]
0 0 0 0 0
1000 1.61282 1.57303 1.57098 4.75683
2000 1.93026 1.95429 2.11667 6.00122
3000 2.24479 2.19736 2.22595 6.6681
4000 2.39907 2.49952 2.3866 7.2852
5000 2.68347 2.5322 2.70436 7.92003
6000 2.90831 2.74241 2.87204 8.52276
7000 3.16125 2.8758 3.03286 9.0699
8000 3.45708 3.08943 3.15982 9.70634
9000 3.44622 3.21935 3.52973 10.1953
10000 3.86721 3.71076 3.50897 11.0869
11000 3.77101 3.83506 3.98993 11.596
12000 4.12048 4.25431 4.21602 12.5908
13000 4.36538 4.24156 4.31588 12.9228
14000 4.61837 4.33358 4.31088 13.2628
15000 4.94989 4.58648 4.61048 14.1469
16000 5.35088 5.00626 4.76176 15.1189
17000 5.49989 5.16412 5.11274 15.7768
18000 5.56861 5.34801 5.17532 16.0919
19000 5.89797 5.75795 5.75436 17.4103
20000 6.18775 6.08693 5.95618 18.2309
21000 6.40174 5.77498 6.41758 18.5943
22000 6.51856 6.1893 6.50808 19.2159
23000 6.96525 6.29833 7.04663 20.3102
24000 7.32323 6.53823 6.98857 20.85
25000 7.32008 6.94288 7.2747 21.5377
26000 7.85846 7.12878 7.55327 22.5405
27000 8.08963 7.30112 7.69694 23.0877
28000 8.09771 8.08692 7.73818 23.9228
29000 7.99418 8.13511 7.70683 23.8361
30000 8.55496 8.80248 8.13407 25.4915
31000 8.49589 8.74556 8.29302 25.5345
32000 8.92176 9.16014 8.3745 26.4564
33000 9.04261 9.37498 8.75093 27.1685
34000 9.22455 8.96688 8.94362 27.135
35000 9.80594 9.23106 9.1837 28.2207
36000 9.69724 9.90757 9.27942 28.8842
37000 9.52541 10.5477 9.51358 29.5867
38000 9.80792 10.4471 9.56874 29.8237
39000 10.3452 10.3898 9.82091 30.5559
40000 10.605 10.9075 10.4236 31.936
41000 10.6539 10.9742 10.2313 31.8594
42000 10.4771 11.0524 10.3426 31.8721
43000 10.4729 11.1626 10.2945 31.9301
44000 10.6011 11.5475 10.482 32.6306
45000 11.2446 11.4099 10.8165 33.471
46000 11.2868 11.3894 10.7565 33.4327
47000 11.858 11.2252 10.8303 33.9135
48000 11.715 11.7611 11.0471 34.5232
49000 11.8799 11.449 11.5732 34.902
50000 12.0008 12.1041 11.5201 35.625
51000 12.3152 12.2706 11.4895 36.0752
52000 12.247 12.6551 11.5919 36.494
53000 12.502 12.2792 11.6913 36.4725
54000 12.528 12.5565 11.8653 36.9498
55000 12.8614 13.1149 12.4543 38.4306
56000 13.0275 13.434 12.5416 39.0031
57000 13.904 13.6299 13.1002 40.6341
58000 14.1592 14.0645 13.6056 41.8293
59000 13.6768 14.1847 13.6082 41.4696
60000 14.3955 13.7896 13.7138 41.8989
61000 14.5074 14.0693 14.1976 42.7743
62000 15.1171 14.8474 14.144 44.1085
63000 15.5002 15.0443 14.1633 44.7078
64000 15.8425 14.7298 14.3719 44.9442
65000 15.9375 15.6313 14.3687 45.9375
66000 16.1685 15.9979 14.2422 46.4087
67000 15.6832 15.9112 14.4859 46.0802
68000 16.3928 16.5508 14.5139 47.4575
69000 16.1608 16.4083 14.5906 47.1598
70000 16.0988 16.4982 15.3034 47.9004
71000 17.0187 16.2211 15.3032 48.543
72000 16.2061 16.2774 15.123 47.6065
73000 16.9619 16.7214 15.6608 49.3441
74000 17.2835 16.9829 15.6273 49.8936
75000 17.8318 17.0201 15.9589 50.8109
76000 17.835 16.9469 16.0364 50.8183
77000 18.0572 17.439 16.1845 51.6807
78000 17.9217 17.8933 16.6074 52.4225
79000 18.6671 17.7967 17.0187 53.4825
80000 19.1395 18.677 17.0807 54.8972
81000 19.4417 19.1725 16.8847 55.4989
82000 19.8858 19.5042 17.3788 56.7688
83000 19.5466 19.4757 17.5801 56.6024
84000 20.6651 19.1809 17.7767 57.6227
85000 20.1174 19.4892 17.8734 57.4801
86000 20.4372 19.8794 17.7224 58.0391
87000 20.3073 19.8808 17.8704 58.0585
88000 20.6675 20.3358 18.3295 59.3327
89000 20.7933 20.5236 19.2172 60.5342
90000 21.5412 21.4497 19.4708 62.4617
91000 21.554 20.6662 19.3272 61.5474
92000 21.7744 20.7501 18.786 61.3105
93000 21.3446 21.0775 19.253 61.6751
94000 21.359 21.7977 19.7566 62.9133
95000 20.9169 21.4794 19.6221 62.0184
96000 20.3584 21.0426 19.8742 61.2753
97000 21.4609 22.0046 20.2865 63.752
98000 22.1951 21.6501 20.7324 64.5776
99000 21.6492 21.9756 21.3286 64.9535
100000 22.1093 22.5953 21.8965 66.601
101000 22.6184 22.4861 22.1765 67.281
102000 22.8279 22.1409 21.8985 66.8673
103000 22.4759 22.6742 21.8436 66.9936
104000 23.0206 22.2176 21.8949 67.1331
105000 23.261 22.6148 22.2061 68.0819
106000 23.7496 23.1863 22.5839 69.5198
107000 23.2424 23.0427 22.333 68.618
108000 24.3861 23.54 22.8146 70.7407
109000 23.1305 23.4638 22.5814 69.1757
110000 23.2881 23.7431 22.5213 69.5526
111000 23.3816 23.3381 22.6322 69.3519
112000 23.6304 24.426 22.9849 71.0413
113000 23.8345 24.2815 22.8052 70.9212
114000 24.3056 24.4679 23.255 72.0284
115000 24.6838 24.6623 23.7131 73.0592
116000 24.886 25.4515 23.6777 74.0152
117000 25.6934 25.7671 23.9063 75.3668
118000 25.8457 26.2107 23.8878 75.9441
119000 25.8088 26.4025 23.9198 76.1311
120000 26.2032 26.3928 23.9491 76.5452
121000 27.2122 26.1649 23.962 77.3392
122000 26.7689 25.991 23.9726 76.7325
123000 27.2385 26.0016 24.4116 77.6517
124000 27.7531 26.6618 24.4114 78.8263
125000 27.5336 26.2986 24.7563 78.5885
126000 28.1608 26.7994 25.4558 80.416
127000 28.4919 26.7551 25.0654 80.3124
128000 28.0155 27.4691 25.5473 81.0319
129000 27.9337 27.4159 25.0812 80.4308
130000 27.8522 27.0617 25.0255 79.9394
131000 28.7129 27.5337 25.679 81.9256
132000 28.7715 27.986 25.5274 82.2849
133000 29.3099 27.8574 25.7445 82.9119
134000 29.9444 27.9606 26.0251 83.9301
135000 30.4239 27.8243 26.1247 84.3728
